file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\research_project\temp_processing\manual_input.java,OrderProcessor,logic/1[again],false,32,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\research_project\temp_processing\manual_input.java,OrderProcessor,logic/1[making],false,26,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
D:\research_project\temp_processing\manual_input.java,OrderProcessor,process_order/0,false,4,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\ACADEMIC\CS2\CO421 FYP\FYP_Group02\temp_processing\StudentManager.java,StudentManager,printStudent/0,false,3,0,0,0,0,2,1,9,0,1,0,1,0,0,0,0,0,0,2,2,1,0,1,0,0,0,3,1,0,false
D:\ACADEMIC\CS2\CO421 FYP\FYP_Group02\temp_processing\StudentManager.java,StudentManager,printTeacher/0,false,13,0,0,0,0,2,1,9,0,1,0,1,0,0,0,0,0,0,2,2,1,0,1,0,0,0,3,1,0,false
D:\ACADEMIC\CS2\CO421 FYP\FYP_Group02\temp_processing\manual_input.java,StudentSystem,updateStudent/0,false,53,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\ACADEMIC\CS2\CO421 FYP\FYP_Group02\temp_processing\manual_input.java,StudentSystem,"processStudent/6[java.lang.String,int,int,int,int,int]",false,10,0,0,0,0,16,2,24,0,1,6,2,0,0,0,0,0,5,9,13,1,1,1,0,0,0,10,1,0,false
D:\ACADEMIC\CS2\CO421 FYP\FYP_Group02\temp_processing\manual_input.java,StudentSystem,deleteStudent/0,false,57,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\ACADEMIC\CS2\CO421 FYP\FYP_Group02\temp_processing\manual_input.java,StudentSystem,saveStudent/0,false,49,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
D:\ACADEMIC\CS2\CO421 FYP\FYP_Group02\temp_processing\manual_input.java,StudentSystem,printStudentDetails/0,false,39,0,0,0,0,1,3,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
